ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,Spotify_pop_category,Release year,Clean_track,Clean_album,Clean_artist
QM24S2402528,1.0,725.4,390470936.0,30716.0,196631588.0,84274754.0,1713126.0,651565900.0,5332281936.0,210.0,40975.0,2669262.0,0.0,Hot track,2024,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman
USUG12400910,2.0,545.9,323703884.0,28113.0,174597137.0,116347040.0,3486739.0,35223547.0,208339025.0,188.0,40778.0,1118279.0,1.0,Hot track,2024,Not Like Us,Not Like Us,Kendrick Lamar
QZJ842400387,3.0,538.4,601309283.0,54331.0,211607669.0,122599116.0,2228730.0,275154237.0,3369120610.0,190.0,74333.0,5285340.0,0.0,Hot track,2024,i like the way you kiss me,I like the way you kiss me,Artemas
USSM12209777,4.0,444.9,2031280633.0,269802.0,136569078.0,1096100899.0,10629796.0,1078757968.0,14603725994.0,394.0,1474799.0,11822942.0,0.0,Hot track,2023,Flowers,Flowers - Single,Miley Cyrus
USUG12403398,5.0,423.3,107034922.0,7223.0,151469874.0,77373957.0,3670188.0,23687262.5,223409281.9,182.0,12185.0,457017.0,1.0,Hot track,2024,Houdini,Houdini,Eminem
USAT22311371,6.0,410.1,670665438.0,105892.0,175421034.0,131148091.0,1392593.0,214943489.0,2938686633.0,138.0,522042.0,4517131.0,1.0,Hot track,2023,Lovin On Me,Lovin On Me,Jack Harlow
USWB12307016,7.0,407.2,900158751.0,73118.0,201585714.0,308723145.0,4120760.0,29584940.0,534915313.0,280.0,383478.0,9990302.0,0.0,Hot track,2024,Beautiful Things,Beautiful Things,Benson Boone
QZL382406049,8.0,375.8,675079153.0,40094.0,211236940.0,228382568.0,1439495.0,338546668.0,3804584163.0,160.0,17221.0,6063523.0,1.0,Hot track,2024,Gata Only,Gata Only,FloyyMenor
TCJPA2463708,9.0,355.7,1653018119.0,1.0,15.0,402784101.12144524,2930658.9799206164,276264106.0,2650901670.5,174.13519669888512,174899.6,7280024.147293323,1.0,Hot track,2024,Danza Kuduro - Cover,-  -,MUSIC LAB JPN
USSM12404354,10.0,330.6,90676573.0,10400.0,184199419.0,32735244.0,988682.0,121574500.0,974656200.0,191.0,3823.0,666302.0,1.0,Hot track,2024,BAND4BAND,BAND4BAND,Central Cee
USUM72404990,11.0,322.1,250080413.0,16219.0,168766158.0,32229063.0,550191.0,184500.0,2100000.0,157.0,62312.0,963413.0,1.0,Hot track,2024,I Had Some Help,I Had Some Help,Post Malone
USWB12402486,12.0,320.2,111155129.0,2.0,263767.0,402784101.12144524,2930658.9799206164,11863892.1,180259712.5,18.67634593622919,32434.0,1174425.2923487294,1.0,Hot track,2024,The Door,The Door,Teddy Swims
USUM72401991,13.0,316.3,221636195.0,13800.0,197280692.0,40022524.0,1307290.0,45889000.0,360017000.0,244.0,41344.0,450344.0,0.0,Hot track,2024,LUNCH,HIT ME HARD AND SOFT,Billie Eilish
USSM12402041,14.0,308.2,355186436.0,43025.0,108168634.0,98081493.0,1456177.0,28850123.6,395088198.8,153.0,90237.0,1963314.0,1.0,Hot track,2024,Like That,WE DON'T TRUST YOU,Future
NLC242100307,15.0,301.6,297185.0,277.0,24445.0,6736502312.0,16785489.0,1088.0,22234.0,1.0,1057.0,3288.0,0.0,Least popular,2022,bathroom floor,bathroom floor,Kids With Buns
USWL12300002,16.0,299.9,925655569.0,103605.0,79944921.0,934302031.0,4294166.0,521725116.0,7499234052.0,94.0,92231.0,2765808.0,1.0,Hot track,2023,LALA,LALA - Single,Myke Towers
USUG12401028,17.0,297.6,395433400.0,12784.0,177932568.0,104673836.0,2484083.0,25348800.0,207317000.0,221.0,129968.0,1210029.0,0.0,Hot track,2024,Fortnight,THE TORTURED POETS DEPARTMENT,Taylor Swift
USRC12301932,18.0,293.7,1258569694.0,105218.0,198845580.0,141646818.0,1514837.0,419319161.0,5456156211.0,207.0,667329.0,6973652.0,1.0,Hot track,2023,greedy,greedy,Tate McRae
USUM72401996,19.0,292.6,91272461.0,6499.0,52287548.0,16038053.0,569377.0,119740900.0,1225345800.0,76.0,181.0,257661.0,0.0,Hot track,2024,BLUE,HIT ME HARD AND SOFT,Billie Eilish
USSM12200612,20.0,292.0,3301814535.0,407119.0,169783402.0,800899315.0,9101589.0,1633970617.0,15405881843.0,455.0,1777811.0,14967379.0,0.0,Hot track,2022,As It Was,As It Was,Harry Styles
USRC12300907,21.0,290.5,1065399331.0,170890.0,121712197.0,240970670.0,2749668.0,652428798.0,7095564106.0,158.0,400899.0,7559816.0,1.0,Hot track,2023,Paint The Town Red,Paint The Town Red,Doja Cat
USUM72403305,22.0,281.5,547882871.0,24425.0,262343414.0,107550212.0,1825761.0,169144295.0,1379499000.0,298.0,37208.0,1373085.0,1.0,Hot track,2024,Espresso,Espresso,Sabrina Carpenter
TCJPA2445163,23.0,279.0,1655575417.0,10.0,655.0,402784101.12144524,2930658.9799206164,271389825.8,2590206603.1,174.39303712356366,169764.8,7290150.751175653,1.0,Hot track,2024,Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN
USSM12401302,24.0,278.9,426700979.0,34044.0,152928632.0,35724356.0,437980.0,485200392.0,6518604175.0,159.0,309497.0,2100708.0,1.0,Hot track,2024,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc
RUA1H2415548,25.0,277.5,447406866.9237458,1.0,2.0,402784101.12144524,2930658.9799206164,273236305.0,4306269694.0,52.57903967983562,47210.7,2505943.2283492247,0.0,Hot track,2024,Future,Future,official sound studio
BXWEH2200054,26.0,268.1,7382759.0,3504.0,661084.0,4233958.0,69990.0,1636811753.0,22918660728.0,1.0,8123.6,633525.0,0.0,Least popular,2022,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat
USSM12103949,27.0,266.3,3107100349.0,451732.0,134793519.0,1256973582.0,14661425.0,2246991336.0,23712377029.0,513.0,1510151.0,20588835.738696884,1.0,Hot track,2021,STAY,STAY,The Kid LAROI
KRE671700001,28.0,265.7,720822868.0,60945.0,7530769.0,16322756555.0,48757673.0,281762094.0,6577639193.0,33.0,284.0,2064420.0,0.0,Hot track,2015,Baby Shark,Un Verano Sin Ti,Pinkfong
USUM72317276,29.0,262.8,591068364.0,26203.0,197494995.0,156882014.0,3080503.0,118465971.2,1357433507.1,194.0,200230.0,1579980.0,0.0,Hot track,2024,we can't be friends,eternal sunshine,Ariana Grande
