Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936.00,30716.00,196631588.00,92.00,84274754.00,1713126.00,5767700.00,651565900.00,5332281936.00,150597040.00,210.00,40975.00,684.00,62.00,17598718.00,114.00,18004655.00,22931.00,4818457.00,2669262.00,,0
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,USUG12400910,2,545.9,323703884.00,28113.00,174597137.00,92.00,116347040.00,3486739.00,674700.00,35223547.00,208339025.00,156380351.00,188.00,40778.00,3.00,67.00,10422430.00,111.00,7780028.00,28444.00,6623075.00,1118279.00,,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283.00,54331.00,211607669.00,92.00,122599116.00,2228730.00,3025400.00,275154237.00,3369120610.00,373784955.00,190.00,74333.00,536.00,136.00,36321847.00,172.00,5022621.00,5639.00,7208651.00,5285340.00,,0
Flowers,Flowers - Single,Miley Cyrus,01-12-2023,USSM12209777,4,444.9,2031280633.00,269802.00,136569078.00,85.00,1096100899.00,10629796.00,7189811.00,1078757968.00,14603725994.00,3351188582.00,394.00,1474799.00,2182.00,264.00,24684248.00,210.00,190260277.00,203384.00,,11822942.00,,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,107034922.00,7223.00,151469874.00,88.00,77373957.00,3670188.00,16400.00,,,112763851.00,182.00,12185.00,1.00,82.00,17660624.00,105.00,4493884.00,7006.00,207179.00,457017.00,,1
Lovin On Me,Lovin On Me,Jack Harlow,11-10-2023,USAT22311371,6,410.1,670665438.00,105892.00,175421034.00,83.00,131148091.00,1392593.00,4202367.00,214943489.00,2938686633.00,2867222632.00,138.00,522042.00,4654.00,86.00,17167254.00,152.00,138529362.00,50982.00,9438601.00,4517131.00,,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751.00,73118.00,201585714.00,86.00,308723145.00,4120760.00,,29584940.00,534915313.00,4601579812.00,280.00,383478.00,429.00,168.00,48197850.00,154.00,65447476.00,57372.00,,9990302.00,,0
Gata Only,Gata Only,FloyyMenor,02-02-2024,QZL382406049,8,375.8,675079153.00,40094.00,211236940.00,92.00,228382568.00,1439495.00,3500000.00,338546668.00,3804584163.00,2112581620.00,160.00,17221.00,30.00,87.00,33245595.00,53.00,3372428.00,5762.00,,6063523.00,,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,06-09-2024,TCJPA2463708,9,355.7,1653018119.00,1.00,15.00,,,,,,,,,,,,,,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,90676573.00,10400.00,184199419.00,86.00,32735244.00,988682.00,325800.00,121574500.00,974656200.00,174706874.00,191.00,3823.00,117.00,78.00,10800098.00,92.00,1005626.00,842.00,3679709.00,666302.00,,1
